Sequence Name, SI, TI
ACeramicsandSpicesMoroccoVidevo_3840x2176_50fps_10bit_420.yuv,3.60E+01,1.15E+01
ACharactersYonseiUniversity_3840x2176_30fps_10bit_420.yuv,5.66E+01,3.33E+01
AChristmasPresentsIRIS_3840x2176_24fps_10bit_420.yuv,3.90E+01,2.75E+01
AChristmasRoomDareful_3840x2176_29fps_10bit_420.yuv,4.28E+01,6.48E+00
AChurchInsideMCLJCV_3840x2176_30fps_10bit_420.yuv,3.58E+01,1.23E+01
ACityScapesS1IRIS_3840x2176_24fps_10bit_420.yuv,3.63E+01,2.95E+01
ACityScapesS2IRIS_3840x2176_24fps_10bit_420.yuv,3.99E+01,2.32E+01
ACityScapesS3IRIS_3840x2176_24fps_10bit_420.yuv,3.94E+01,2.32E+01
ACityStreetS1IRIS_3840x2176_24fps_10bit_420.yuv,4.89E+01,3.46E+01
ACityStreetS3IRIS_3840x2176_24fps_10bit_420.yuv,6.14E+01,1.19E+01
ACityStreetS4IRIS_3840x2176_24fps_10bit_420.yuv,4.86E+01,3.64E+01
ACityStreetS5IRIS_3840x2176_24fps_10bit_420.yuv,3.87E+01,4.34E+01
ACityStreetS6IRIS_3840x2176_24fps_10bit_420.yuv,3.95E+01,4.17E+01
ACityStreetS7IRIS_3840x2176_24fps_10bit_420.yuv,4.15E+01,2.26E+01
ACloseUpBasketballSceneVidevo_3840x2176_25fps_10bit_420.yuv,4.84E+01,2.76E+01
ACloudsStaticBVITexture_3840x2176_120fps_10bit_420.yuv,1.49E+01,9.13E+00
AColourfulDecorationWatPhoVidevo_3840x2176_50fps_10bit_420.yuv,4.92E+01,1.69E+01
AColourfulKoreanLanternsVidevo_3840x2176_50fps_10bit_420.yuv,3.14E+01,1.58E+01
AColourfulPaperLanternsVidevo_3840x2176_50fps_10bit_420.yuv,7.31E+01,2.12E+01
AColourfulRugsMoroccoVidevo_3840x2176_50fps_10bit_420.yuv,3.58E+01,1.95E+01
AConstructionS2YonseiUniversity_3840x2176_30fps_10bit_420.yuv,4.49E+01,2.05E+01
ACostaRicaS3Harmonics_3840x2176_60fps_10bit_420.yuv,8.34E+01,1.55E+01
ACrosswalkHarmonics_3840x2176_60fps_10bit_420.yuv,2.19E+01,1.55E+01
ACrosswalkHongKong2S1Videvo_3840x2176_25fps_10bit_420.yuv,5.09E+01,2.59E+01
ACrosswalkHongKong2S2Videvo_3840x2176_25fps_10bit_420.yuv,4.53E+01,3.07E+01
ACrosswalkHongKongVidevo_3840x2176_25fps_10bit_420.yuv,3.62E+01,2.08E+01
ACrowdRunMCLV_3840x2176_25fps_10bit_420.yuv,6.06E+01,3.19E+01
ACyclistS1BVIHFR_3840x2176_120fps_10bit_420.yuv,3.98E+01,2.97E+01
ACyclistVeniceBeachBoardwalkVidevo_3840x2176_25fps_10bit_420.yuv,3.78E+01,1.94E+01
ADollsScene1YonseiUniversity_3840x2176_30fps_10bit_420.yuv,2.18E+01,1.77E+01
ADollsScene2YonseiUniversity_3840x2176_30fps_10bit_420.yuv,2.43E+01,2.61E+01
ADowntownHongKongVidevo_3840x2176_25fps_10bit_420.yuv,6.69E+01,2.53E+01
ADrivingPOVHarmonics_3840x2176_60fps_10bit_420.yuv,4.26E+01,1.61E+01
ADropsOnWaterBVITexture_3840x2176_120fps_10bit_420.yuv,4.36E+01,4.20E+01
AElFuenteMaskLIVENetFlix_3840x2176_24fps_10bit_420.yuv,3.97E+01,3.64E+01
AEnteringHongKongStallS1Videvo_3840x2176_25fps_10bit_420.yuv,4.93E+01,2.21E+01
AEnteringHongKongStallS2Videvo_3840x2176_25fps_10bit_420.yuv,4.82E+01,2.80E+01
AFerrisWheelTurningVidevo_3840x2176_50fps_10bit_420.yuv,5.50E+01,2.70E+01
AFireS18Mitch_3840x2176_24fps_10bit_420.yuv,2.01E+01,5.73E+01
AFireS21Mitch_3840x2176_24fps_10bit_420.yuv,2.00E+01,6.90E+01
AFireS71Mitch_3840x2176_24fps_10bit_420.yuv,2.38E+01,5.40E+01
AFirewoodS1IRIS_3840x2176_24fps_10bit_420.yuv,2.03E+01,2.12E+01
AFirewoodS2IRIS_3840x2176_25fps_10bit_420.yuv,1.98E+01,4.04E+01
AFitnessIRIS_3840x2176_24fps_10bit_420.yuv,2.06E+01,1.85E+01
AFjordsS1Harmonics_3840x2176_60fps_10bit_420.yuv,4.89E+01,1.07E+01
AFlagShootTUMSVT_3840x2176_50fps_10bit_420.yuv,2.04E+01,9.67E+00
AFlowerChapelS1IRIS_3840x2176_24fps_10bit_420.yuv,3.70E+01,1.93E+01
AFlowerChapelS2IRIS_3840x2176_24fps_10bit_420.yuv,4.16E+01,1.51E+01
AFlyingCountrysideDareful_3840x2176_29fps_10bit_420.yuv,8.74E+01,2.95E+01
AFlyingMountainsDareful_3840x2176_29fps_10bit_420.yuv,6.69E+01,2.11E+01
AFlyingThroughLAStreetVidevo_3840x2176_23fps_10bit_420.yuv,4.47E+01,1.04E+01
AFungusZoomBVITexture_3840x2176_120fps_10bit_420.yuv,4.20E+01,5.87E+00
AGrassBVITexture_3840x2176_120fps_10bit_420.yuv,6.17E+01,4.36E+00
AGrazTowerIRIS_3840x2176_24fps_10bit_420.yuv,5.01E+01,2.36E+01
AHamsterBVIHFR_3840x2176_120fps_10bit_420.yuv,3.47E+01,1.89E+01
AHarleyDavidsonIRIS_3840x2176_24fps_10bit_420.yuv,5.39E+01,2.75E+01
AHongKongIslandVidevo_3840x2176_25fps_10bit_420.yuv,4.54E+01,2.22E+01
AHongKongMarket1Videvo_3840x2176_25fps_10bit_420.yuv,3.90E+01,1.82E+01
AHongKongMarket2Videvo_3840x2176_25fps_10bit_420.yuv,4.04E+01,2.44E+01
AHongKongMarket3S1Videvo_3840x2176_25fps_10bit_420.yuv,4.83E+01,2.56E+01
AHongKongMarket3S2Videvo_3840x2176_25fps_10bit_420.yuv,4.40E+01,3.08E+01
AHongKongMarket4S1Videvo_3840x2176_25fps_10bit_420.yuv,5.00E+01,2.59E+01
AHongKongMarket4S2Videvo_3840x2176_25fps_10bit_420.yuv,5.26E+01,3.09E+01
AHongKongS1Harmonics_3840x2176_60fps_10bit_420.yuv,4.23E+01,9.17E+00
AHongKongS2Harmonics_3840x2176_60fps_10bit_420.yuv,4.49E+01,1.57E+01
AHongKongS3Harmonics_3840x2176_60fps_10bit_420.yuv,4.93E+01,1.38E+01
AHorseDrawnCarriagesVidevo_3840x2176_50fps_10bit_420.yuv,2.45E+01,1.42E+01
AHorseStaringS1Videvo_3840x2176_50fps_10bit_420.yuv,3.16E+01,2.44E+01
AHorseStaringS2Videvo_3840x2176_50fps_10bit_420.yuv,2.94E+01,1.44E+01
AJockeyHarmonics_3840x2176_120fps_10bit_420.yuv,2.48E+01,2.50E+01
AJoggersS1BVIHFR_3840x2176_120fps_10bit_420.yuv,2.88E+01,2.82E+01
AJoggersS2BVIHFR_3840x2176_120fps_10bit_420.yuv,3.03E+01,2.44E+01
AKartingIRIS_3840x2176_24fps_10bit_420.yuv,4.76E+01,4.77E+01
AKoraDrumsVidevo_3840x2176_25fps_10bit_420.yuv,2.87E+01,3.30E+01
ALakeYonseiUniversity_3840x2176_30fps_10bit_420.yuv,5.05E+01,1.40E+01
ALampLeavesBVITexture_3840x2176_120fps_10bit_420.yuv,7.17E+01,1.70E+01
ALaundryHangingOverHongKongVidevo_3840x2176_25fps_10bit_420.yuv,4.28E+01,2.86E+01
ALeaves1BVITexture_3840x2176_120fps_10bit_420.yuv,9.10E+01,9.37E+00
ALeaves3BVITexture_3840x2176_120fps_10bit_420.yuv,6.15E+01,6.36E+00
ALowLevelShotAlongHongKongVidevo_3840x2176_25fps_10bit_420.yuv,5.92E+01,1.67E+01
ALungshanTempleS1Videvo_3840x2176_50fps_10bit_420.yuv,5.43E+01,2.03E+01
ALungshanTempleS2Videvo_3840x2176_50fps_10bit_420.yuv,5.74E+01,1.98E+01
AManMoTempleVidevo_3840x2176_25fps_10bit_420.yuv,1.68E+01,1.69E+01
AManStandinginProduceTruckVidevo_3840x2176_25fps_10bit_420.yuv,4.09E+01,2.30E+01
AManWalkingThroughBangkokVidevo_3840x2176_25fps_10bit_420.yuv,4.43E+01,6.04E+00
AMaplesS1YonseiUniversity_3840x2176_30fps_10bit_420.yuv,7.67E+01,4.56E+01
AMaplesS2YonseiUniversity_3840x2176_30fps_10bit_420.yuv,6.89E+01,4.85E+01
AMirabellParkS1IRIS_3840x2176_24fps_10bit_420.yuv,4.78E+01,2.91E+01
AMirabellParkS2IRIS_3840x2176_24fps_10bit_420.yuv,3.91E+01,2.72E+01
AMobileHarmonics_3840x2176_60fps_10bit_420.yuv,4.82E+01,2.57E+01
AMoroccanCeramicsShopVidevo_3840x2176_50fps_10bit_420.yuv,5.76E+01,1.88E+01
AMoroccanSlippersVidevo_3840x2176_50fps_10bit_420.yuv,3.03E+01,1.55E+01
AMuralPaintingVidevo_3840x2176_25fps_10bit_420.yuv,2.42E+01,1.41E+01
AMyanmarS4Harmonics_3840x2176_60fps_10bit_420.yuv,1.06E+02,6.98E+00
AMyanmarS6Harmonics_3840x2176_60fps_10bit_420.yuv,5.92E+01,2.25E+01
AMyeongDongVidevo_3840x2176_25fps_10bit_420.yuv,6.35E+01,2.23E+01
ANewYorkStreetDareful_3840x2176_30fps_10bit_420.yuv,6.36E+01,8.71E+00
aom_cosmos_3840x2160_24_hdr10_11589-11752.yuv,3.38E+01,3.30E+01
aom_cosmos_3840x2160_24_hdr10_12149-12330.yuv,4.39E+01,4.10E+01
aom_cosmos_3840x2160_24_hdr10_12916-13078.yuv,3.04E+01,1.34E+01
aom_cosmos_3840x2160_24_hdr10_13446-13649.yuv,3.76E+01,1.49E+01
aom_cosmos_3840x2160_24_hdr10_1573-1749.yuv,4.90E+01,1.87E+01
aom_cosmos_3840x2160_24_hdr10_8686-8826.yuv,2.09E+01,3.27E+01
aom_cosmos_3840x2160_24_hdr10_9561-9789.yuv,1.66E+01,6.39E+00
aom_meridian_3840x2160_5994_hdr10_12264-12745.yuv,4.02E+01,3.02E+00
aom_meridian_3840x2160_5994_hdr10_15932-16309.yuv,1.65E+01,5.72E+00
aom_meridian_3840x2160_5994_hdr10_1782-2163.yuv,2.05E+01,3.23E+00
aom_meridian_3840x2160_5994_hdr10_20988-21412.yuv,2.20E+01,5.98E+00
aom_meridian_3840x2160_5994_hdr10_22412-22738.yuv,3.31E+01,1.03E+01
aom_meridian_3840x2160_5994_hdr10_24058-24550.yuv,1.67E+01,1.18E+01
aom_nocturne_3840x2160_60_hdr10_17140-17709.yuv,2.14E+01,9.72E+00
aom_nocturne_3840x2160_60_hdr10_2370-2539.yuv,1.64E+01,1.76E+01
aom_nocturne_3840x2160_60_hdr10_23820-24322.yuv,1.76E+01,1.32E+01
aom_nocturne_3840x2160_60_hdr10_27740-28109.yuv,2.96E+01,9.29E+00
aom_nocturne_3840x2160_60_hdr10_32660-32799.yuv,2.55E+01,1.16E+01
aom_nocturne_3840x2160_60_hdr10_8540-9009.yuv,1.86E+01,2.67E+00
aom_nocturne_3840x2160_60_hdr10_9010-9349.yuv,5.97E+00,1.98E+00
aom_sol_levante_3840x2160_24_hdr10_2268-2412.yuv,1.43E+01,3.40E+01
aom_sol_levante_3840x2160_24_hdr10_289-453.yuv,2.96E+01,1.16E+01
aom_sol_levante_3840x2160_24_hdr10_3282-3874.yuv,4.81E+01,1.28E+01
aom_sol_levante_3840x2160_24_hdr10_4123-4545.yuv,2.31E+01,1.80E+01
aom_sol_levante_3840x2160_24_hdr10_519-649.yuv,7.95E+01,3.11E+01
AOrangeBuntingoverHongKongVidevo_3840x2176_25fps_10bit_420.yuv,5.42E+01,2.18E+01
APaintingTiltingBVITexture_3840x2176_120fps_10bit_420.yuv,8.54E+01,3.21E+01
AParkViolinMCLJCV_3840x2176_25fps_10bit_420.yuv,5.04E+01,1.50E+01
APedestriansSeoulatDawnVidevo_3840x2176_25fps_10bit_420.yuv,7.14E+01,2.41E+01
APeopleWalkingS1IRIS_3840x2176_24fps_10bit_420.yuv,4.49E+01,2.58E+01
APersonRunningOutsideVidevo_3840x2176_50fps_10bit_420.yuv,4.52E+01,1.63E+01
APillowsTransBVITexture_3840x2176_120fps_10bit_420.yuv,7.91E+01,1.25E+01
APlasmaFreeBVITexture_3840x2176_120fps_10bit_420.yuv,2.73E+01,1.46E+01
APresentsChristmasTreeDareful_3840x2176_29fps_10bit_420.yuv,2.95E+01,9.04E+00
AReadySetGoS2TampereUniversity_3840x2176_120fps_10bit_420.yuv,3.48E+01,3.21E+01
AResidentialBuildingSJTU_3840x2176_60fps_10bit_420.yuv,6.27E+01,1.62E+01
ARollerCoaster2Netflix_3840x2176_60fps_10bit_420.yuv,2.16E+01,2.44E+01
ARunnersSJTU_3840x2176_60fps_10bit_420.yuv,6.12E+01,2.11E+01
ARuralSetupIRIS_3840x2176_24fps_10bit_420.yuv,3.72E+01,2.73E+01
ARuralSetupS2IRIS_3840x2176_24fps_10bit_420.yuv,2.70E+01,2.63E+01
AScarfSJTU_3840x2176_60fps_10bit_420.yuv,4.81E+01,3.45E+01
ASeasideWalkIRIS_3840x2176_24fps_10bit_420.yuv,3.76E+01,1.19E+01
ASeekingMCLV_3840x2176_25fps_10bit_420.yuv,4.11E+01,3.90E+01
ASeoulCanalatDawnVidevo_3840x2176_25fps_10bit_420.yuv,3.24E+01,1.52E+01
AShoppingCentreVidevo_3840x2176_25fps_10bit_420.yuv,4.96E+01,2.59E+01
ASignboardBoatLIVENetFlix_3840x2176_30fps_10bit_420.yuv,4.29E+01,4.04E+01
ASkyscraperBangkokVidevo_3840x2176_23fps_10bit_420.yuv,6.21E+01,2.69E+01
ASmokeClearBVITexture_3840x2176_120fps_10bit_420.yuv,1.86E+01,1.23E+01
ASmokeS45Mitch_3840x2176_24fps_10bit_420.yuv,2.04E+01,1.53E+00
ASparklerBVIHFR_3840x2176_120fps_10bit_420.yuv,3.93E+01,5.03E+01
ASquareAndTimelapseHarmonics_3840x2176_60fps_10bit_420.yuv,4.34E+01,2.49E+01
ASquareS1IRIS_3840x2176_24fps_10bit_420.yuv,4.80E+01,3.37E+01
ASquareS2IRIS_3840x2176_24fps_10bit_420.yuv,3.23E+01,2.33E+01
AStreetArtVidevo_3840x2176_30fps_10bit_420.yuv,5.65E+01,3.49E+01
AStreetDancerS1IRIS_3840x2176_24fps_10bit_420.yuv,4.93E+01,2.05E+01
AStreetDancerS2IRIS_3840x2176_24fps_10bit_420.yuv,2.12E+01,2.53E+01
AStreetDancerS3IRIS_3840x2176_24fps_10bit_420.yuv,2.42E+01,3.00E+01
AStreetDancerS4IRIS_3840x2176_24fps_10bit_420.yuv,3.57E+01,2.97E+01
AStreetDancerS5IRIS_3840x2176_24fps_10bit_420.yuv,2.54E+01,2.35E+01
AStreetsOfIndiaS1Harmonics_3840x2176_60fps_10bit_420.yuv,3.81E+01,1.73E+01
AStreetsOfIndiaS2Harmonics_3840x2176_60fps_10bit_420.yuv,5.33E+01,1.26E+01
AStreetsOfIndiaS3Harmonics_3840x2176_60fps_10bit_420.yuv,4.99E+01,3.32E+01
ATaiChiHongKongS1Videvo_3840x2176_25fps_10bit_420.yuv,3.09E+01,2.61E+01
ATaiChiHongKongS2Videvo_3840x2176_25fps_10bit_420.yuv,3.47E+01,2.69E+01
ATaipeiCityRooftops8Videvo_3840x2176_25fps_10bit_420.yuv,6.60E+01,1.37E+01
ATaipeiCityRooftopsS1Videvo_3840x2176_25fps_10bit_420.yuv,3.23E+01,1.91E+01
ATaipeiCityRooftopsS2Videvo_3840x2176_25fps_10bit_420.yuv,3.82E+01,1.21E+01
ATaksinBridgeVidevo_3840x2176_23fps_10bit_420.yuv,3.63E+01,1.10E+01
ATallBuildingsSJTU_3840x2176_60fps_10bit_420.yuv,7.53E+01,1.17E+01
ATennisMCLV_3840x2176_24fps_10bit_420.yuv,2.83E+01,2.86E+01
AToddlerFountain2Netflix_3840x2176_60fps_10bit_420.yuv,4.79E+01,2.91E+01
ATouristsSatOutsideVidevo_3840x2176_25fps_10bit_420.yuv,3.56E+01,1.20E+01
AToyCalendarHarmonics_3840x2176_60fps_10bit_420.yuv,3.11E+01,2.22E+01
ATrackingDownHongKongSideVidevo_3840x2176_25fps_10bit_420.yuv,4.77E+01,2.16E+01
ATrackingPastRestaurantVidevo_3840x2176_25fps_10bit_420.yuv,4.45E+01,4.20E+01
ATrackingPastStallHongKongVidevo_3840x2176_25fps_10bit_420.yuv,4.73E+01,3.48E+01
ATraditionalIndonesianKecakVidevo_3840x2176_25fps_10bit_420.yuv,2.31E+01,2.28E+01
ATrafficandBuildingSJTU_3840x2176_60fps_10bit_420.yuv,5.27E+01,1.18E+01
ATrafficFlowSJTU_3840x2176_60fps_10bit_420.yuv,4.20E+01,1.88E+01
ATrafficonTasksinBridgeVidevo_3840x2176_25fps_10bit_420.yuv,4.57E+01,1.14E+01
ATreeWillsBVITexture_3840x2176_120fps_10bit_420.yuv,8.83E+01,2.90E+00
ATruckIRIS_3840x2176_24fps_10bit_420.yuv,4.12E+01,1.76E+01
ATunnelFlagS1Harmonics_3840x2176_60fps_10bit_420.yuv,6.00E+01,6.16E+01
AUnloadingVegetablesVidevo_3840x2176_25fps_10bit_420.yuv,5.55E+01,3.73E+01
AVegetableMarketS1LIVENetFlix_3840x2176_30fps_10bit_420.yuv,3.36E+01,2.09E+01
AVegetableMarketS2LIVENetFlix_3840x2176_30fps_10bit_420.yuv,3.36E+01,2.21E+01
AVegetableMarketS3LIVENetFlix_3840x2176_30fps_10bit_420.yuv,3.16E+01,1.06E+01
AVegetableMarketS4LIVENetFlix_3840x2176_30fps_10bit_420.yuv,3.34E+01,2.96E+01
AVeniceS2Harmonics_3840x2176_60fps_10bit_420.yuv,4.14E+01,9.66E+00
AVeniceSceneIRIS_3840x2176_24fps_10bit_420.yuv,6.37E+01,2.97E+01
AWalkingDownKhaoStreetVidevo_3840x2176_25fps_10bit_420.yuv,5.67E+01,2.38E+01
AWalkingDownNorthRodeoVidevo_3840x2176_25fps_10bit_420.yuv,6.58E+01,2.14E+01
AWalkingThroughFootbridgeVidevo_3840x2176_25fps_10bit_420.yuv,6.14E+01,2.26E+01
AWaterS65Mitch_3840x2176_24fps_10bit_420.yuv,2.66E+01,3.13E+01
AWaterS81Mitch_3840x2176_24fps_10bit_420.yuv,6.95E+01,2.43E+01
AWatPhoTempleVidevo_3840x2176_50fps_10bit_420.yuv,4.15E+01,2.33E+01
AWoodSJTU_3840x2176_60fps_10bit_420.yuv,9.90E+01,3.86E+01
AWovenVidevo_3840x2176_25fps_10bit_420.yuv,3.11E+01,2.61E+01
BAdvertisingMassagesBangkokVidevo_1920x1088_25fps_10bit_420.yuv,6.50E+01,1.54E+01
BAmericanFootballS2Harmonics_1920x1088_60fps_10bit_420.yuv,1.06E+02,2.17E+00
BAmericanFootballS3Harmonics_1920x1088_60fps_10bit_420.yuv,5.60E+01,1.78E+01
BAmericanFootballS4Harmonics_1920x1088_60fps_10bit_420.yuv,7.04E+01,2.55E+01
BAnimalsS11Harmonics_1920x1088_60fps_10bit_420.yuv,5.74E+01,2.57E+01
BAnimalsS1Harmonics_1920x1088_60fps_10bit_420.yuv,4.80E+01,1.74E+01
BBangkokMarketVidevo_1920x1088_25fps_10bit_420.yuv,4.75E+01,1.36E+01
BBasketballGoalScoredS1Videvo_1920x1088_25fps_10bit_420.yuv,3.83E+01,3.99E+01
BBasketballGoalScoredS2Videvo_1920x1088_25fps_10bit_420.yuv,4.56E+01,3.69E+01
BBasketballS1YonseiUniversity_1920x1088_30fps_10bit_420.yuv,4.57E+01,2.98E+01
